fileid|split
S000002_P0001_T02|train
S000004_P0002_T02|train
S000001_P0001_T01|train
S000004_P0003_T02|train
S000003_P0002_T01|train
S000003_P0002_T03|test
S000003_P0003_T03|test
S000001_P0003_T03|test
S000003_P0003_T02|train
S000003_P0003_T01|train
S000001_P0001_T02|train
S000001_P0002_T03|test
S000001_P0001_T03|test
S000002_P0003_T02|train
S000002_P0002_T02|train
S000002_P0002_T01|train
S000002_P0001_T01|train
S000002_P0003_T03|test
S000001_P0003_T02|train
S000004_P0003_T03|test
S000002_P0003_T01|train
S000002_P0002_T03|test
S000001_P0003_T01|train
S000004_P0001_T01|train
S000003_P0001_T02|train
S000004_P0003_T01|train
S000004_P0001_T03|test
S000004_P0002_T01|train
S000003_P0001_T03|test
S000004_P0001_T02|train
S000001_P0002_T01|train
S000003_P0001_T01|train
S000002_P0001_T03|test
S000003_P0002_T02|train
S000001_P0002_T02|train
S000004_P0002_T03|test
S000004_P0003_T02|train
S000003_P0003_T03|test
S000001_P0003_T03|test
S000003_P0003_T02|train
S000003_P0003_T01|train
S000002_P0003_T02|train
S000002_P0003_T03|test
S000001_P0003_T02|train
S000004_P0003_T03|test
S000002_P0003_T01|train
S000001_P0003_T01|train
S000004_P0003_T01|train
S000002_P0004_T03|test
S000003_P0004_T01|train
S000001_P0004_T02|train
S000003_P0004_T02|train
S000003_P0004_T03|test
S000002_P0004_T01|train
S000001_P0004_T01|train
S000004_P0004_T03|test
S000001_P0004_T03|test
S000004_P0004_T01|train
S000004_P0004_T02|train
S000002_P0004_T02|train
